NOMBDEP,NOMBPROV,NOMBDIST,Clasificacion_Climatica
SAN MARTIN,EL DORADO,SANTA ROSA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,SHAPAJA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUANUCO,AMARILIS,Semiseco con humedad abundante todas las estaciones del a
HUANUCO,YAROWILCA,CHORAS,Lluvioso con oto
HUANUCO,HUANUCO,HUANUCO,Semiseco con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,SANTA ANA,Lluvioso con invierno seco. Templado.
PUNO,CARABAYA,ITUATA,Lluvioso con oto
PUNO,SANDIA,SAN JUAN DEL ORO,Semiseco con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,MEGANTONI,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
JUNIN,CHANCHAMAYO,VITOC,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHANCHAMAYO,SAN RAMON,Semiseco con humedad abundante todas las estaciones del a
MADRE DE DIOS,TAMBOPATA,TAMBOPATA,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
CUSCO,LA CONVENCION,KIMBIRI,Lluvioso con invierno seco. Templado.
CUSCO,LA CONVENCION,PICHARI,Lluvioso con invierno seco. Templado.
HUANUCO,HUANUCO,QUISQUI (KICHKI),Lluvioso con oto
PASCO,OXAPAMPA,HUANCABAMBA,Semiseco con humedad abundante todas las estaciones del a
PASCO,OXAPAMPA,POZUZO,Semiseco con humedad abundante todas las estaciones del a
PASCO,OXAPAMPA,PUERTO BERMUDEZ,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,PACHITEA,PANAO,Lluvioso con oto
HUANUCO,PACHITEA,UMARI,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,SAUCE,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,ALBERTO LEVEAU,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MARISCAL CACERES,CAMPANILLA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,SANTA CATALINA,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,SAN JERONIMO,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,JAMALCA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,BELLAVISTA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,SAN JOSE DEL ALTO,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,LA COIPA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,JEPELACIO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,HUAMBO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,LA JALCA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,LIMABAMBA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BAGUA,LA PECA,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,SAN FRANCISCO DE DAGUAS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,MARISCAL BENAVIDES,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,LONYA CHICO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,TABALOSOS,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUAMALIES,MONZON,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,MAGDALENA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,LONGUITA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,INGUILPATA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,HUANCAS,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,PINTO RECODO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,CHILIQUIN,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,CHURUJA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,RIOJA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,ELIAS SOPLIN VARGAS,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,CAYNARACHI,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,LONYA GRANDE,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,SAN CARLOS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,ASUNCION,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,OLLEROS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,YAMON,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CONDORCANQUI,NIEVA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,DATEM DEL MARAÑON,MANSERICHE,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,SAN FRANCISCO DEL YESO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,MOYOBAMBA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,DATEM DEL MARAÑON,BARRANCA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,CUMBA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,BELLAVISTA,SAN PABLO,Semiseco con humedad abundante todas las estaciones del a
LORETO,UCAYALI,VARGAS GUERRA,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARI,HUACHIS,Lluvioso con oto
ANCASH,HUARI,RAHUAPAMPA,Semiseco con humedad abundante todas las estaciones del a
ANCASH,HUARI,PONTO,Lluvioso con oto
HUANUCO,HUAMALIES,TANTAMAYO,Lluvioso con oto
HUANUCO,HUAMALIES,SINGA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,HUARI,HUACACHI,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
HUANUCO,HUACAYBAMBA,HUACAYBAMBA,Lluvioso con oto
SAN MARTIN,HUALLAGA,SAPOSOA,Lluvioso con humedad abundante todas las estaciones del a
PASCO,OXAPAMPA,CHONTABAMBA,Lluvioso con humedad abundante todas las estaciones del a
PASCO,OXAPAMPA,OXAPAMPA,Lluvioso con humedad abundante todas las estaciones del a
PASCO,PASCO,HUACHON,Lluvioso con oto
PASCO,PASCO,TICLACAYAN,Lluvioso con oto
UCAYALI,ATALAYA,RAIMONDI,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
HUANUCO,AMBO,HUACAR,Semiseco con humedad abundante todas las estaciones del a
HUANUCO,AMBO,CONCHAMARCA,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,CHETO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,LUYA VIEJO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,CONILA,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,SATIPO,SATIPO,Lluvioso con humedad abundante todas las estaciones del a
UCAYALI,ATALAYA,SEPAHUA,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
JUNIN,CHANCHAMAYO,SAN LUIS DE SHUARO,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,JUNIN,ULCUMAYO,Lluvioso con oto
JUNIN,CHANCHAMAYO,PICHANAQUI,Lluvioso con humedad abundante todas las estaciones del a
PASCO,PASCO,NINACACA,Lluvioso con oto
JUNIN,CHANCHAMAYO,PERENE,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,CHANCHAMAYO,CHANCHAMAYO,Semiseco con humedad abundante todas las estaciones del a
LA LIBERTAD,PATAZ,TAYABAMBA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
LORETO,DATEM DEL MARAÑON,CAHUAPANAS,Lluvioso con humedad abundante todas las estaciones del a
LORETO,ALTO AMAZONAS,BALSAPUERTO,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,SATIPO,RIO TAMBO,Lluvioso con humedad abundante todas las estaciones del a
PASCO,PASCO,PAUCARTAMBO,Lluvioso con oto
SAN MARTIN,TOCACHE,NUEVO PROGRESO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,TOCACHE,SHUNTE,Lluvioso con humedad abundante todas las estaciones del a
PASCO,PASCO,SAN FRANCISCO DE ASIS DE YARUSYACAN,Lluvioso con oto
HUANUCO,HUAMALIES,LLATA,Lluvioso con oto
HUANUCO,YAROWILCA,CHAVINILLO,Lluvioso con oto
HUANUCO,HUANUCO,SANTA MARIA DEL VALLE,Lluvioso con oto
UCAYALI,ATALAYA,TAHUANIA,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
HUANUCO,HUANUCO,CHURUBAMBA,Lluvioso con oto
HUANUCO,DOS DE MAYO,MARIAS,Lluvioso con oto
AMAZONAS,LUYA,SAN CRISTOBAL,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,GRANADA,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
AMAZONAS,CHACHAPOYAS,QUINJALCA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,VALERA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,SAN ROQUE DE CUMBAZA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,COROSHA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,CHONTALI,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,MARIA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,SAN JUAN DE LOPECANCHA,Lluvioso con humedad abundante todas las estaciones del a
PUNO,SANDIA,YANAHUAYA,Semiseco con humedad abundante todas las estaciones del a
PUNO,SANDIA,ALTO INAMBARI,Semiseco con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,OCOBAMBA,Lluvioso con invierno seco. Templado.
MADRE DE DIOS,TAMBOPATA,INAMBARI,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
CUSCO,LA CONVENCION,MARANURA,Lluvioso con invierno seco. Templado.
CUSCO,CALCA,YANATILE,Lluvioso con invierno seco. Templado.
MADRE DE DIOS,MANU,MANU,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
JUNIN,SATIPO,RIO NEGRO,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,TARMA,HUASAHUASI,Lluvioso con oto
PUNO,SANDIA,SAN PEDRO DE PUTINA PUNCO,Lluvioso con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,HUAYOPATA,Lluvioso con oto
MADRE DE DIOS,MANU,MADRE DE DIOS,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
PUNO,SANDIA,LIMBANI,Lluvioso con humedad abundante todas las estaciones del a
PUNO,CARABAYA,SAN GABAN,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
MADRE DE DIOS,MANU,HUEPETUHE,Lluvioso con humedad abundante todas las estaciones del a
PUNO,CARABAYA,AYAPATA,Lluvioso con humedad abundante todas las estaciones del a
CUSCO,QUISPICANCHI,CAMANTI,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
CUSCO,PAUCARTAMBO,KOSÑIPATA,Lluvioso con invierno seco. Templado.
CUSCO,LA CONVENCION,QUELLOUNO,Lluvioso con invierno seco. Templado.
JUNIN,SATIPO,LLAYLLA,Semiseco con humedad abundante todas las estaciones del a
MADRE DE DIOS,MANU,FITZCARRALD,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
JUNIN,SATIPO,PAMPA HERMOSA,Lluvioso con oto
JUNIN,SATIPO,COVIRIALI,Lluvioso con humedad abundante todas las estaciones del a
JUNIN,JAUJA,MONOBAMBA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,TOCACHE,UCHIZA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,SHAMBOYACU,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARI,ANRA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
SAN MARTIN,BELLAVISTA,BAJO BIAVO,Semiseco con humedad abundante todas las estaciones del a
LA LIBERTAD,BOLIVAR,LONGOTEA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,BELLAVISTA,ALTO BIAVO,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MARISCAL CACERES,PAJARILLO,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,BOLIVAR,UCUNCHA,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,BELLAVISTA,HUALLAGA,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,PATAZ,BULDIBUYO,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
SAN MARTIN,TOCACHE,TOCACHE,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,PATAZ,ONGON,Lluvioso con humedad abundante todas las estaciones del a
LA LIBERTAD,PATAZ,HUAYLILLAS,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,DOS DE MAYO,RIPAN,Lluvioso con oto
HUANUCO,DOS DE MAYO,SILLAPATA,Lluvioso con oto
HUANUCO,DOS DE MAYO,SHUNQUI,Lluvioso con oto
ANCASH,BOLOGNESI,HUALLANCA,Lluvioso con oto
HUANUCO,YAROWILCA,PAMPAMARCA,Lluvioso con oto
AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,HUARI,RAPAYAN,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
HUANUCO,HUAMALIES,JACAS GRANDE,Lluvioso con oto
ANCASH,HUARI,SAN MARCOS,Lluvioso con oto
HUANUCO,HUAMALIES,PUÑOS,Lluvioso con oto
HUANUCO,AMBO,TOMAY KICHWA,Semiseco con humedad abundante todas las estaciones del a
LA LIBERTAD,BOLIVAR,UCHUMARCA,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
HUANUCO,AMBO,SAN FRANCISCO,Lluvioso con oto
HUANUCO,AMBO,SAN RAFAEL,Lluvioso con oto
HUANUCO,MARAÑON,CHOLON,Lluvioso con humedad abundante todas las estaciones del a
PASCO,PASCO,HUARIACA,Lluvioso con oto
PASCO,PASCO,PALLANCHACRA,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,SANTA ANA DE TUSI,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,CHACAYAN,Lluvioso con oto
HUANUCO,PACHITEA,MOLINO,Lluvioso con oto
HUANUCO,YAROWILCA,CHACABAMBA,Lluvioso con oto
HUANUCO,LAURICOCHA,RONDOS,Lluvioso con oto
HUANUCO,HUAMALIES,CHAVIN DE PARIARCA,Lluvioso con oto
SAN MARTIN,TOCACHE,POLVORA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,PICOTA,TINGO DE PONASA,Semiseco con humedad abundante todas las estaciones del a
LORETO,UCAYALI,PAMPA HERMOSA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,LAURICOCHA,SAN FRANCISCO DE ASIS,Lluvioso con oto
AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,LONGAR,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,LEVANTO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,CHIRIMOTO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,TOTORA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,EL DORADO,SHATOJA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,EL DORADO,AGUA BLANCA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,LUYA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,YORONGOS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,CAMPORREDONDO,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,MILPUC,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,CHAZUTA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,FLORIDA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,AWAJUN,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,BAGUA GRANDE,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,JAEN,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,LAS PIRIAS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BAGUA,COPALLIN,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,JAEN,HUABAL,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,ALONSO DE ALVARADO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,TRITA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,OCALLI,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,MOLINOPAMPA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,SONCHE,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MOYOBAMBA,SORITOR,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,PARDO MIGUEL,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BAGUA,ARAMANGO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,YAMBRASBAMBA,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,HUAMBOS,Semiseco con humedad abundante todas las estaciones del a
SAN MARTIN,SAN MARTIN,HUIMBAYOC,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,HUALLAGA,ALTO SAPOSOA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,TINGO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,LAMAS,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,SAN ISIDRO DE MAINO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,JAZAN,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,RECTA,Lluvioso con humedad abundante todas las estaciones del a
LORETO,UCAYALI,SARAYACU,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,CUISPES,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,SHIPASBAMBA,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,CHISQUILLA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,BONGARA,JUMBILLA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,RIOJA,NUEVA CAJAMARCA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,OCUMAL,Semiseco con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,SOLOCO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,MONTEVIDEO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CHACHAPOYAS,MARISCAL CASTILLA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,MARISCAL CACERES,PACHIZA,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,EL DORADO,SAN JOSE DE SISA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,COCABAMBA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,LUYA,SANTO TOMAS,Lluvioso con humedad abundante todas las estaciones del a
SAN MARTIN,LAMAS,ZAPATERO,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,RODRIGUEZ DE MENDOZA,SANTA ROSA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,UTCUBAMBA,CAJARURO,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,CHIRINOS,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,TABACONAS,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,SAN IGNACIO,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,NAMBALLE,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,SAN JOSE DE LOURDES,Lluvioso con humedad abundante todas las estaciones del a
CAJAMARCA,SAN IGNACIO,HUARANGO,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
AMAZONAS,BAGUA,IMAZA,Lluvioso con humedad abundante todas las estaciones del a
AMAZONAS,CONDORCANQUI,EL CENEPA,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,MARAÑON,LA MORADA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,MARAÑON,SANTA ROSA DE ALTO YANAJANCA,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,HUANUCO,SAN PABLO DE PILLAO,Lluvioso con humedad abundante todas las estaciones del a
CUSCO,LA CONVENCION,ECHARATE,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,LEONCIO PRADO,JOSE CRESPO Y CASTILLO,Lluvioso con humedad abundante todas las estaciones del a
HUANUCO,LEONCIO PRADO,HERMILIO VALDIZAN,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,LEONCIO PRADO,DANIEL ALOMIA ROBLES,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,LEONCIO PRADO,RUPA-RUPA,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,LEONCIO PRADO,MARIANO DAMASO BERAUN,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,LEONCIO PRADO,PUCAYACU,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
HUANUCO,LEONCIO PRADO,PUEBLO NUEVO,Muy lluvioso con humedad abundante todas las estaciones del aao. CClido.
HUANUCO,LEONCIO PRADO,SANTO DOMINGO DE ANDA,Muy lluvioso con humedad abundante todas las estaciones del aSo. Templado.
JUNIN,SATIPO,MAZAMARI,Lluvioso con humedad abundante todas las estaciones del a
ANCASH,ANTONIO RAYMONDI,MIRGAS,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
ANCASH,ANTONIO RAYMONDI,LLAMELLIN,Lluvioso con otoeo e invierno secos. Templado.
ANCASH,ANTONIO RAYMONDI,CHINGAS,Lluvioso con oto
PASCO,DANIEL ALCIDES CARRION,VILCABAMBA,Lluvioso con oto
HUANCAVELICA,CHURCAMPA,PAUCARBAMBA,Lluvioso con oto
HUANCAVELICA,CHURCAMPA,CHINCHIHUASI,Lluvioso con oto
HUANCAVELICA,TAYACAJA,COLCABAMBA,Semiseco con humedad abundante todas las estaciones del a
ANCASH,HUARI,HUANTAR,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,ACORIA,Lluvioso con oto
HUANCAVELICA,CHURCAMPA,PACHAMARCA,Lluvioso con oto
HUANCAVELICA,TAYACAJA,PAZOS,Lluvioso con oto
JUNIN,HUANCAYO,HUACRAPUQUIO,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CELENDIN,CORTEGANA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CHOTA,CHADIN,Lluvioso con oto
CAJAMARCA,CHOTA,CHIGUIRIP,Lluvioso con oto
HUANUCO,HUANUCO,YARUMAYO,Lluvioso con oto
JUNIN,HUANCAYO,SAN JERONIMO DE TUNAN,Semiseco con oto o e invierno secos. Frso.
HUANCAVELICA,ANGARAES,HUAYLLAY GRANDE,Lluvioso con oto
JUNIN,CONCEPCION,MANZANARES,Semiseco con oto o e invierno secos. Frso.
JUNIN,HUANCAYO,SAN AGUSTIN,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,HUALHUAS,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CONCEPCION,ORCOTUNA,Semiseco con oto o e invierno secos. Frso.
JUNIN,CONCEPCION,NUEVE DE JULIO,Semiseco con humedad abundante todas las estaciones del a
PUNO,SANDIA,PATAMBUCO,Lluvioso con oto
PUNO,SANDIA,SANDIA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,TARMA,PALCA,Lluvioso con oto
JUNIN,TARMA,PALCAMAYO,Lluvioso con oto
AYACUCHO,HUANTA,HUAMANGUILLA,Semiseco con humedad abundante todas las estaciones del a
AYACUCHO,LA MAR,TAMBO,Lluvioso con oto
AYACUCHO,HUANTA,SIVIA,Lluvioso con invierno seco. Templado.
AYACUCHO,HUANTA,LLOCHEGUA,Lluvioso con invierno seco. Templado.
AYACUCHO,LA MAR,SAMUGARI,Lluvioso con invierno seco. Templado.
AYACUCHO,LA MAR,ANCHIHUAY,Lluvioso con invierno seco. Templado.
AYACUCHO,HUANTA,CANAYRE,Lluvioso con invierno seco. Templado.
CAJAMARCA,SANTA CRUZ,YAUYUCAN,Lluvioso con oto
CAJAMARCA,SANTA CRUZ,ANDABAMBA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,SANTA CRUZ,NINABAMBA,Lluvioso con oto
CAJAMARCA,SANTA CRUZ,PULAN,Lluvioso con oto
CAJAMARCA,SANTA CRUZ,SAUCEPAMPA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,HUALGAYOC,HUALGAYOC,Muy lluvioso con humedad abundante todas las estaciones del a䰬o. Fr䓊o.
JUNIN,CONCEPCION,CONCEPCION,Semiseco con humedad abundante todas las estaciones del a
HUANCAVELICA,CHURCAMPA,COSME,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,CONAYCA,Lluvioso con oto
HUANCAVELICA,HUANCAVELICA,IZCUCHACA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHUPACA,TRES DE DICIEMBRE,Semiseco con humedad abundante todas las estaciones del a
JUNIN,HUANCAYO,HUANCAN,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CHUPACA,SAN JUAN DE ISCOS,Lluvioso con oto
HUANCAVELICA,TAYACAJA,SALCABAMBA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,SANTO DOMINGO DE LA CAPILLA,Semiseco con humedad abundante todas las estaciones del a
CAJAMARCA,CUTERVO,LA RAMADA,Semiseco con humedad abundante todas las estaciones del a
JUNIN,CONCEPCION,SANTA ROSA DE OCOPA,Semiseco con oto o e invierno secos. Frso.
